Rank,City,Country,Airport,Loaded/unloaded 2017,Change
1,HONG KONG,HK,HKG,5 049 898,9.4
2,MEMPHIS TN,US,MEM,4 336 752,0.3
3,SHANGHAI,CN,PVG,3 824 280,11.2
4,INCHEON,KR,ICN,2 921 691,7.6
5,ANCHORAGE AK,US,ANC,2 713 230,6.7
6,DUBAI,AE,DXB,2 654 494,2.4
7,LOUISVILLE KY,US,SDF,2 602 695,6.8
8,TOKYO,JP,NRT,2 336 427,7.9
9,TAIPEI,TW,TPE,2 269 585,8.2
10,PARIS,FR,CDG,2 195 229,2.8
11,FRANKFURT,DE,FRA,2 194 056,3.8
12,SINGAPORE,SG,SIN,2 164 700,7.9
13,LOS ANGELES CA,US,LAX,2 158 324,8.1
14,MIAMI FL,US,MIA,2 071 722,2.9
15,BEIJING,CN,PEK,2 029 584,4.5
16,DOHA,QA,DOH,2 020 942,15
17,LONDON,GB,LHR,1 794 276,9.4
18,GUANGZHOU,CN,CAN,1 780 423,7.8
19,AMSTERDAM,NL,AMS,1 778 382,4.9
20,CHICAGO IL,US,ORD,1 721 807,12.6
