rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_this_period,total_pax_last_period,total_pax_percent
12/04/2019 14:45,201902,201802,Other UK Airports,ABERDEEN,103283,6239,109522,128207,-14.574087
12/04/2019 14:45,201902,201802,Non UK Reporting Airports,ALDERNEY,2923,0,2923,2820,3.652482
12/04/2019 14:45,201902,201802,Other UK Airports,BARRA,959,0,959,959,Null
12/04/2019 14:45,201902,201802,Other UK Airports,BELFAST CITY (GEORGE BEST),170077,0,170077,170165,-0.051715
12/04/2019 14:45,201902,201802,Other UK Airports,BELFAST INTERNATIONAL,333814,824,334638,280921,19.121746
12/04/2019 14:45,201902,201802,Other UK Airports,BENBECULA,2651,0,2651,2279,16.322949
12/04/2019 14:45,201902,201802,Other UK Airports,BIGGIN HILL,0,0,0,100,Null
12/04/2019 14:45,201902,201802,Other UK Airports,BIRMINGHAM,100359,0,100359,96080,4.453580
12/04/2019 14:45,201902,201802,Other UK Airports,BOURNEMOUTH,74,31,105,416,-74.759615
12/04/2019 14:45,201902,201802,Other UK Airports,BRISTOL,97933,175,98108,104035,-5.697121
12/04/2019 14:45,201902,201802,Other UK Airports,CAMPBELTOWN,465,0,465,474,-1.898734
12/04/2019 14:45,201902,201802,Other UK Airports,CARDIFF WALES,16412,337,16749,19381,-13.580311
12/04/2019 14:45,201902,201802,Other UK Airports,CITY OF DERRY (EGLINTON),13865,0,13865,14955,-7.288532
12/04/2019 14:45,201902,201802,Other UK Airports,DONCASTER SHEFFIELD,3011,19,3030,737,311.126187
12/04/2019 14:45,201902,201802,Other UK Airports,DUNDEE,1531,12,1543,1398,10.371960
12/04/2019 14:45,201902,201802,Other UK Airports,DURHAM TEES VALLEY,1450,49,1499,2507,-40.207419
12/04/2019 14:45,201902,201802,Other UK Airports,EAST MIDLANDS INTERNATIONAL,27854,0,27854,27774,0.288039
12/04/2019 14:45,201902,201802,Other UK Airports,EDINBURGH,402897,0,402897,364225,10.617613
12/04/2019 14:45,201902,201802,Other UK Airports,EXETER,30803,0,30803,29875,3.106276
12/04/2019 14:45,201902,201802,London Area Airports,GATWICK,273904,307,274211,276340,-0.770428
12/04/2019 14:45,201902,201802,Other UK Airports,GLASGOW,293373,0,293373,291688,0.577672
12/04/2019 14:45,201902,201802,Non UK Reporting Airports,GUERNSEY,50454,2,50456,48196,4.689186
12/04/2019 14:45,201902,201802,London Area Airports,HEATHROW,320861,0,320861,347169,-7.577866
12/04/2019 14:45,201902,201802,Other UK Airports,HUMBERSIDE,1766,0,1766,1648,7.160194
12/04/2019 14:45,201902,201802,Other UK Airports,INVERNESS,49693,0,49693,48149,3.206712
12/04/2019 14:45,201902,201802,Other UK Airports,ISLAY,1821,0,1821,1795,1.448468
12/04/2019 14:45,201902,201802,Non UK Reporting Airports,ISLE OF MAN,57431,0,57431,54618,5.150317
12/04/2019 14:45,201902,201802,Other UK Airports,ISLES OF SCILLY (ST.MARYS),3313,0,3313,3291,0.668490
12/04/2019 14:45,201902,201802,Non UK Reporting Airports,JERSEY,96076,0,96076,94491,1.677408
12/04/2019 14:45,201902,201802,Other UK Airports,KIRKWALL,11102,55,11157,11012,1.316745
12/04/2019 14:45,201902,201802,Other UK Airports,LANDS END (ST JUST),2909,0,2909,2797,4.004290
12/04/2019 14:45,201902,201802,Other UK Airports,LEEDS BRADFORD,24240,0,24240,28099,-13.733585
12/04/2019 14:45,201902,201802,Other UK Airports,LERWICK (TINGWALL),197,0,197,221,-10.859729
12/04/2019 14:45,201902,201802,Other UK Airports,LIVERPOOL (JOHN LENNON),80161,318,80479,75798,6.175625
12/04/2019 14:45,201902,201802,London Area Airports,LONDON CITY,85698,0,85698,74636,14.821266
12/04/2019 14:45,201902,201802,London Area Airports,LUTON,82687,286,82973,82206,0.933022
12/04/2019 14:45,201902,201802,Other UK Airports,MANCHESTER,192005,279,192284,181529,5.924673
12/04/2019 14:45,201902,201802,Other UK Airports,NEWCASTLE,82938,148,83086,88096,-5.686978
12/04/2019 14:45,201902,201802,Other UK Airports,NEWQUAY,20114,0,20114,19192,4.804085
12/04/2019 14:45,201902,201802,Other UK Airports,NORWICH,8808,45,8853,8264,7.127299
12/04/2019 14:45,201902,201802,Other UK Airports,PRESTWICK,0,67,67,144,-53.472222
12/04/2019 14:45,201902,201802,Other UK Airports,SCATSTA,0,4838,4838,7330,-33.997271
12/04/2019 14:45,201902,201802,Other UK Airports,SOUTHAMPTON,78914,85,78999,84101,-6.066515
12/04/2019 14:45,201902,201802,London Area Airports,SOUTHEND,214,0,214,5993,-96.429167
12/04/2019 14:45,201902,201802,London Area Airports,STANSTED,157426,0,157426,88915,77.052241
12/04/2019 14:45,201902,201802,Other UK Airports,STORNOWAY,9077,0,9077,9664,-6.074089
12/04/2019 14:45,201902,201802,Other UK Airports,SUMBURGH,10305,1457,11762,16482,-28.637301
12/04/2019 14:45,201902,201802,Other UK Airports,TIREE,717,0,717,674,6.379822
12/04/2019 14:45,201902,201802,Other UK Airports,WICK JOHN O GROATS,1029,0,1029,1226,-16.068515

