rundate,this_period,last_period,repoting_airport_group_name,reporting_airport_name,total_mail_passenger_aircraft_this_period,total_mail_passenger_aircraft_last_period,total_mail_passenger_aircraft_percent_change,total_mail_cargo_aircraft_this_period,total_mail_cargo_aircraft_last_period,total_mail_cargo_aircraft_percent_change,total_mail_this_period,total_mail_last_period,total_mail_percent_change
4/12/2019 2:17:04 PM,201902,201802,London Area Airports,GATWICK,602.989,448.068,35,0.000,0.000,,602.989,448.068,35
4/12/2019 2:17:04 PM,201902,201802,London Area Airports,HEATHROW,6012.296,6452.227,(7),0.000,0.274,,6012.296,6452.501,(7)
4/12/2019 2:17:04 PM,201902,201802,London Area Airports,LONDON CITY,62.011,24.875,149,0.000,0.000,,62.011,24.875,149
4/12/2019 2:17:04 PM,201902,201802,London Area Airports,LUTON,0.000,0.000,,52.012,62.378,(17),52.012,62.378,(17)
4/12/2019 2:17:04 PM,201902,201802,London Area Airports,STANSTED,0.000,0.000,,1292.657,1241.696,4,1292.657,1241.696,4
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,ABERDEEN,0.000,0.510,,105.877,120.603,(12),105.877,121.113,(13)
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,BELFAST INTERNATIONAL,0.000,0.000,,1267.939,1172.095,8,1267.939,1172.095,8
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,BIRMINGHAM,9.559,9.460,1,0.000,0.000,,9.559,9.460,1
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,BRISTOL,0.000,16.307,,0.000,0.000,,0.000,16.307,
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,EAST MIDLANDS INTERNATIONAL,0.000,0.000,,1552.652,1479.742,5,1552.652,1479.742,5
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,EDINBURGH,0.000,0.000,,1715.393,1546.450,11,1715.393,1546.450,11
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,EXETER,0.000,0.000,,262.196,238.953,10,262.196,238.953,10
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,GLASGOW,7.543,14.587,(48),0.080,0.000,,7.623,14.587,(48)
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,INVERNESS,0.000,0.000,,13.622,3.330,309,13.622,3.330,309
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,ISLAY,5.077,5.224,(3),0.000,0.000,,5.077,5.224,(3)
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,ISLES OF SCILLY (ST.MARYS),0.000,2.100,,19.800,14.000,41,19.800,16.100,23
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,KIRKWALL,1.364,1.780,(23),0.032,0.007,357,1.396,1.787,(22)
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,LANDS END (ST JUST),2.900,2.100,38,16.900,14.000,21,19.800,16.100,23
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,MANCHESTER,90.117,165.143,(45),0.000,0.000,,90.117,165.143,(45)
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,NEWCASTLE,2.669,0.000,,0.000,0.000,,2.669,0.000,
4/12/2019 2:17:04 PM,201902,201802,Other UK Airports,TIREE,2.853,2.488,15,0.080,0.006,1233,2.933,2.494,18
4/12/2019 2:17:04 PM,201902,201802,Non UK Reporting Airports,ALDERNEY,8.350,6.500,28,0.013,0.000,,8.363,6.500,29
4/12/2019 2:17:04 PM,201902,201802,Non UK Reporting Airports,GUERNSEY,8.305,6.569,26,213.906,228.089,(6),222.211,234.658,(5)
4/12/2019 2:17:04 PM,201902,201802,Non UK Reporting Airports,ISLE OF MAN,0.000,0.000,,145.228,145.966,(1),145.228,145.966,(1)
4/12/2019 2:17:04 PM,201902,201802,Non UK Reporting Airports,JERSEY,0.145,0.122,19,131.711,157.583,(16),131.856,157.705,(16)

