rundate,this_period,last_period,reporting_airport_group_name,reporting_airport_name,total_pax_fixed_wing_this_period,total_pax_fixed_wing_last_period,total_pax_fixed_wing_percent_change,total_pax_rotary_wing_this_period,total_pax_rotary_wing_last_period,total_pax_rotary_wing_percent_change,total_atms_fixed_wing_this_period,total_atms_fixed_wing_last_period,total_atms_fixed_wing_percent_change,total_atms_rotary_wing_this_period,total_atms_rotary_wing_last_period,total_atms_rotary_wing_percent_change
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,GATWICK,3098831,2980212,3.980220199,0,0,Null,19659,19003,3.452086513,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,HEATHROW,5482288,5393756,1.641379402,0,0,Null,35488,35694,-0.577127809,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,LONDON CITY,365102,329634,10.759812398,0,0,Null,6411,6106,4.995086800,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,LUTON,1191996,1053462,13.150355684,0,0,Null,7557,6873,9.951986032,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,SOUTHEND,81510,79015,3.157628298,0,0,Null,900,980,-8.163265306,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,London Area Airports,STANSTED,1873730,1731648,8.205016262,0,0,Null,12770,11952,6.844042838,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Non UK Reporting Airports,ALDERNEY,2923,2820,3.652482270,0,0,Null,309,321,-3.738317757,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Non UK Reporting Airports,GUERNSEY,53778,51628,4.164406911,0,0,Null,1486,1473,0.882552614,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Non UK Reporting Airports,ISLE OF MAN,60851,58379,4.234399356,0,0,Null,1024,1069,-4.209541628,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Non UK Reporting Airports,JERSEY,99271,97626,1.685001946,0,0,Null,1585,1594,-0.564617315,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,ABERDEEN,167655,192291,-12.811832067,28998,21734,33.422287660,3408,4645,-26.630785791,2218,1671,32.734889288
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BARRA,959,959,0.000000000,0,0,Null,100,106,-5.660377358,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BELFAST CITY (GEORGE BEST),173705,174220,-0.295603260,0,0,Null,2528,2652,-4.675716440,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BELFAST INTERNATIONAL,446116,382676,16.577992871,0,0,Null,3381,2894,16.827919834,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BENBECULA,2651,2279,16.322948662,0,0,Null,136,140,-2.857142857,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BIGGIN HILL,84,204,-58.823529412,0,0,Null,18,19,-5.263157895,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BIRMINGHAM,792205,764901,3.569612277,0,0,Null,7027,6982,0.644514466,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BLACKPOOL,0,0,Null,1258,1809,-30.458817026,0,0,Null,338,407,-16.953316953
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BOURNEMOUTH,34274,31771,7.878253753,0,0,Null,238,201,18.407960199,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,BRISTOL,523742,517633,1.180179780,0,0,Null,3994,4246,-5.934997645,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,CAMPBELTOWN,465,474,-1.898734177,0,0,Null,79,80,-1.250000000,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,CARDIFF WALES,78061,78020,0.052550628,0,0,Null,1004,1072,-6.343283582,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,CITY OF DERRY (EGLINTON),13865,14977,-7.424717901,0,0,Null,178,177,0.564971751,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,DONCASTER SHEFFIELD,68048,61392,10.841803492,0,0,Null,486,436,11.467889908,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,DUNDEE,1543,1402,10.057061341,0,0,Null,95,89,6.741573034,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,DURHAM TEES VALLEY,11283,10596,6.483578709,0,0,Null,301,367,-17.983651226,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,EAST MIDLANDS INTERNATIONAL,213338,216547,-1.481895385,0,0,Null,3439,3481,-1.206549842,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,EDINBURGH,938914,844685,11.155519513,0,0,Null,8514,8173,4.172274563,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,EXETER,61279,55385,10.641870543,0,0,Null,922,806,14.392059553,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,GLASGOW,533638,567221,-5.920620005,0,0,Null,5246,5821,-9.878027830,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,HUMBERSIDE,13094,11038,18.626562783,1554,1257,23.627684964,296,292,1.369863014,262,210,24.761904762
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,INVERNESS,53606,51602,3.883570404,0,0,Null,754,760,-0.789473684,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,ISLAY,1849,1820,1.593406593,0,0,Null,125,126,-0.793650794,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,KIRKWALL,11864,11735,1.099275671,0,0,Null,789,908,-13.105726872,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,LEEDS BRADFORD,196953,198161,-0.609605321,0,0,Null,1624,1901,-14.571278275,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,LERWICK (TINGWALL),197,221,-10.859728507,0,0,Null,62,66,-6.060606061,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,LIVERPOOL (JOHN LENNON),339357,335362,1.191250052,0,0,Null,2506,2438,2.789171452,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,MANCHESTER,1801038,1680919,7.146031427,0,0,Null,12693,12509,1.470940923,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,NEWCASTLE,283488,288274,-1.660226035,0,0,Null,2443,2564,-4.719188768,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,NEWQUAY,24307,20549,18.287994550,0,0,Null,339,350,-3.142857143,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,NORWICH,24135,22862,5.568191759,6836,5381,27.039583720,620,611,1.472995090,850,694,22.478386167
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,PRESTWICK,21262,24868,-14.500562972,0,0,Null,188,216,-12.962962963,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,SCATSTA,4838,7330,-33.997271487,4090,6167,-33.679260581,136,238,-42.857142857,257,379,-32.189973615
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,SOUTHAMPTON,123812,134506,-7.950574696,0,0,Null,2400,2689,-10.747489773,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,STORNOWAY,9298,9903,-6.109259820,0,0,Null,420,646,-34.984520124,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,SUMBURGH,11762,16482,-28.637301298,4829,0,Null,514,654,-21.406727829,316,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,TIREE,742,714,3.921568627,0,0,Null,128,134,-4.477611940,0,0,Null
4/12/2019 2:11:54 PM,201902,201802,Other UK Airports,WICK JOHN O GROATS,1079,1226,-11.990212072,0,0,Null,114,132,-13.636363636,0,0,Null

